year,state,city,population,violent_crime,murder_and_non_negligent_man_slaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,crime_index_total,modified_crime_index_total
2002,MICHIGAN,White Pigeon,1645,,0,1,0,2,,6,42,1,0,52,52
2002,MICHIGAN,Williamston,3479,,0,4,0,1,,12,36,1,1,54,55
2002,MICHIGAN,Wolverine Lake,4465,,0,2,0,2,,11,40,2,0,57,57
2002,MICHIGAN,Woodstock Township,3507,,0,0,0,0,,0,0,0,0,0,0
2002,MICHIGAN,Yale,2086,,1,0,0,8,,8,37,0,0,54,54
2002,,,,,,,,,,,,,,,
2002,,, ,, , ,,,,,,,,,
2002,,,,,,,,,,,,,,,
2002,MINNESOTA,Alexandria,9000,,0,4,0,11,,27,238,8,3,288,291
2002,MINNESOTA,Appleton,2930,,0,0,0,2,,12,16,2,0,32,32
2002,MINNESOTA,Arden Hills,9849,,0,1,2,8,,29,192,12,7,244,251
2002,MINNESOTA,Aurora,1887,,0,4,0,3,,12,27,1,0,47,47
2002,MINNESOTA,Babbitt,1704,,0,0,0,1,,6,29,2,0,38,38
2002,MINNESOTA,Baxter,5668,,0,7,2,9,,24,430,10,5,482,487
2002,MINNESOTA,Bayport,3227,,0,1,0,2,,14,43,2,2,62,64
2002,MINNESOTA,Becker,2727,,0,1,0,3,,0,27,2,0,33,33
2002,MINNESOTA,Belle Plaine,3866,,0,0,0,6,,23,147,4,0,180,180
2002,MINNESOTA,Benson,3445,,0,2,1,5,,12,61,4,0,85,85
2002,MINNESOTA,Big Lake,6186,,0,4,1,7,,15,184,12,1,223,224
2002,MINNESOTA,Biwabik,974,,0,0,0,1,,0,1,0,0,2,2
2002,MINNESOTA,Blooming Prairie,1973,,0,0,0,1,,12,12,0,1,25,26
2002,MINNESOTA,Blue Earth,3695,,0,0,1,7,,20,106,1,1,135,136
2002,MINNESOTA,Breckenridge,3631,,0,1,0,3,,12,91,9,0,116,116
2002,MINNESOTA,Caledonia,3025,,0,2,0,8,,10,62,4,1,86,87
2002,MINNESOTA,Cambridge,5632,,0,1,1,10,,44,312,24,1,392,393
2002,MINNESOTA,Cannon Falls,3872,,0,1,0,5,,30,209,13,0,258,258
2002,MINNESOTA,Chisago City,2676,,0,0,0,4,,14,92,9,2,119,121
2002,MINNESOTA,Chisholm,5061,,1,0,0,5,,13,136,6,0,161,161
2002,MINNESOTA,Corcoran,5744,,0,0,0,0,,5,36,2,0,43,43
2002,MINNESOTA,Crookston,8359,,0,25,3,15,,35,71,8,1,157,158
2002,MINNESOTA,Crosby,2345,,0,4,2,9,,16,128,4,1,163,164
2002,MINNESOTA,Dawson,1570,,0,0,0,0,,5,15,4,0,24,24
2002,MINNESOTA,Dayton,4795,,0,1,0,4,,1,3,3,0,12,12
2002,MINNESOTA,Deephaven-Woodland,4421,,0,0,0,1,,28,44,5,0,78,78
2002,MINNESOTA,Detroit Lakes,7498,,0,1,2,11,,25,420,34,2,493,495
2002,MINNESOTA,Dilworth,3062,,0,1,0,8,,1,99,6,0,115,115
2002,MINNESOTA,East Grand Forks,7654,,0,4,0,11,,44,294,9,2,362,364
2002,MINNESOTA,Ely,3800,,0,2,0,2,,19,86,4,0,113,113
2002,MINNESOTA,Eveleth,3944,,0,2,2,13,,52,156,28,3,253,256
2002,MINNESOTA,Falcon Heights,5686,,0,0,1,1,,20,82,7,0,111,111
2002,MINNESOTA,Floodwood,514,,0,1,0,1,,0,25,1,0,28,28
2002,MINNESOTA,Forest Lake,6937,,0,6,2,12,,54,460,64,0,598,598
2002,MINNESOTA,Gilbert,1884,,0,0,0,1,,11,40,1,0,53,53
2002,MINNESOTA,Glencoe,5564,,0,0,0,4,,23,122,2,0,151,151
2002,MINNESOTA,Glenwood,2647,,0,2,1,2,,2,30,1,0,38,38
2002,MINNESOTA,Goodview,3442,,0,0,0,2,,9,53,4,0,68,68
2002,MINNESOTA,Grand Marais,1381,,0,0,0,0,,0,0,0,0,0,0
2002,MINNESOTA,Grand Rapids,7923,,0,0,1,7,,10,9,10,0,37,37
2002,MINNESOTA,Granite Falls,3133,,0,1,0,6,,14,73,10,0,104,104
2002,MINNESOTA,Hallock,1221,,0,0,0,0,,0,0,0,0,0,0
2002,MINNESOTA,Hermantown,7599,,0,4,2,2,,50,218,16,1,292,293
2002,MINNESOTA,Hilltop,781,,0,1,3,6,,17,55,4,1,86,87
2002,MINNESOTA,Hoyt Lakes,2125,,0,0,0,1,,3,6,2,0,12,12
2002,MINNESOTA,International Falls,6840,,0,11,0,15,,37,164,18,0,245,245
2002,MINNESOTA,Jackson,3572,,0,0,1,2,,31,100,6,2,140,142
2002,MINNESOTA,Janesville,2152,,0,1,0,0,,2,13,3,0,19,19
2002,MINNESOTA,Jordan,3911,,0,3,0,6,,13,95,6,1,123,124
2002,MINNESOTA,Kasson,4487,,0,1,0,1,,2,28,1,0,33,33
2002,MINNESOTA,Kenyon,1695,,0,0,0,0,,0,0,0,0,0,0
2002,MINNESOTA,La Crescent,5023,,0,1,0,2,,14,80,2,1,99,100
2002,MINNESOTA,Lake City,5050,,0,3,0,1,,28,171,5,0,208,208
2002,MINNESOTA,Lakefield,1756,,0,0,0,2,,8,4,1,0,15,15
2002,MINNESOTA,Lauderdale,2412,,0,3,2,0,,7,65,13,0,90,90
2002,MINNESOTA,Le Sueur,4002,,0,2,0,5,,6,32,5,0,50,50
2002,MINNESOTA,Lindstrom,3077,,0,0,1,7,,14,95,2,2,119,121
2002,MINNESOTA,Litchfield,6696,,0,11,0,6,,47,202,3,0,269,269
2002,MINNESOTA,Little Canada,9970,,0,4,4,12,,57,303,41,3,421,424
2002,MINNESOTA,Little Falls,7876,,1,4,1,9,,29,335,12,1,391,392
2002,MINNESOTA,Long Prairie,3102,,0,2,0,2,,9,107,5,1,125,126
2002,MINNESOTA,Madison,1804,,0,1,0,0,,3,6,0,0,10,10
2002,MINNESOTA,Medina,4087,,0,1,1,1,,18,69,9,1,99,100
2002,MINNESOTA,Melrose,3154,,0,0,0,5,,21,58,1,0,85,85
2002,MINNESOTA,Minnetrista,6358,,1,1,0,3,,16,90,7,0,118,118
2002,MINNESOTA,Montevideo,5455,,1,3,0,11,,14,128,7,0,164,164
2002,MINNESOTA,Moose Lake,2285,,0,0,0,5,,6,63,3,1,77,78
2002,MINNESOTA,Mora,3258,,0,1,2,7,,16,115,9,0,150,150
2002,MINNESOTA,Morris,5171,,0,2,1,6,,32,110,5,0,156,156
2002,MINNESOTA,Mound,9627,,0,7,1,5,,36,159,17,1,225,226
2002,MINNESOTA,Mountain Iron,3060,,0,1,0,0,,7,9,0,0,17,17
2002,MINNESOTA,Mountain Lake,2125,,0,2,0,6,,35,64,3,0,110,110
2002,MINNESOTA,Newport,3791,,0,2,2,10,,49,137,15,0,215,215
2002,MINNESOTA,New Prague,4652,,0,4,0,6,,19,104,3,3,136,139
2002,MINNESOTA,North Branch,8186,,0,2,0,1,,20,146,18,0,187,187
2002,MINNESOTA,North Oaks,3962,,0,0,0,0,,6,41,0,0,47,47
2002,MINNESOTA,Oak Park Heights,4037,,0,0,0,2,,8,224,18,1,252,253
2002,MINNESOTA,Olivia,2622,,0,0,0,0,,5,58,4,0,67,67
2002,MINNESOTA,Ortonville,2202,,0,0,0,2,,5,23,4,0,34,34
2002,MINNESOTA,Osseo,2483,,0,0,0,2,,1,15,4,1,22,23
2002,MINNESOTA,Paynesville,2313,,0,3,0,1,,7,72,6,0,89,89
2002,MINNESOTA,Princeton,4013,,0,6,0,2,,33,182,13,0,236,236
2002,MINNESOTA,Proctor,2910,,0,2,1,5,,8,92,2,0,110,110
2002,MINNESOTA,Redwood Falls,5570,,0,5,0,18,,31,158,22,2,234,236
2002,MINNESOTA,Roseau,2812,,0,1,0,0,,11,92,1,0,105,105
2002,MINNESOTA,Sauk Centre,4010,,0,2,1,4,,22,118,13,0,160,160
2002,MINNESOTA,Scanlon,855,,0,0,0,0,,0,0,1,0,1,1
2002,MINNESOTA,Silver Bay,2110,,0,2,0,0,,2,8,0,0,12,12
2002,MINNESOTA,Slayton,2114,,0,0,0,2,,1,27,0,0,30,30
2002,MINNESOTA,Sleepy Eye,3586,,0,2,0,2,,9,31,2,1,46,47
2002,MINNESOTA,Springfield,2260,,0,0,0,0,,0,0,0,0,0,0
2002,MINNESOTA,Spring Lake Park,6910,,0,4,3,24,,72,306,35,0,444,444
2002,MINNESOTA,St. Anthony,8175,,0,1,2,6,,46,211,11,1,277,278
2002,MINNESOTA,Staples,3167,,0,3,2,1,,9,115,17,2,147,149
2002,MINNESOTA,Stewartville,5522,,0,4,0,5,,17,65,7,1,98,99
2002,MINNESOTA,St. Francis,5010,,0,5,0,6,,32,193,22,4,258,262
2002,MINNESOTA,St. James,4791,,0,2,0,3,,21,164,5,3,195,198
2002,MINNESOTA,St. Joseph,4776,,0,0,0,1,,4,34,3,0,42,42
2002,MINNESOTA,St. Paul Park,5173,,0,3,0,6,,62,115,13,6,199,205
2002,MINNESOTA,St. Peter,9946,,0,7,2,15,,31,263,12,0,330,330
2002,MINNESOTA,Thief River Falls,8581,,0,10,0,7,,34,248,18,0,317,317
2002,MINNESOTA,Tracy,2314,,0,0,0,0,,0,0,0,0,0,0
2002,MINNESOTA,Two Harbors,3687,,0,1,0,2,,1,21,1,0,26,26
2002,MINNESOTA,Virginia,9343,,0,4,5,26,,137,204,53,3,429,432
2002,MINNESOTA,Wabasha,2652,,0,1,0,1,,7,81,1,0,91,91
2002,MINNESOTA,Waconia,6953,,0,0,0,7,,21,123,7,0,158,158
2002,MINNESOTA,Wadena,4382,,0,8,2,9,,24,195,15,1,253,254
2002,MINNESOTA,Waite Park,6702,,0,4,4,8,,22,511,18,10,567,577
2002,MINNESOTA,Warroad,1757,,0,0,0,3,,3,69,3,0,78,78
2002,MINNESOTA,Waseca,8666,,0,11,1,19,,26,214,11,1,282,283
2002,MINNESOTA,Wayzata,4196,,0,1,2,2,,17,140,8,2,170,172
2002,MINNESOTA,West Hennepin,5433,,0,2,0,5,,11,45,12,0,75,75
2002,MINNESOTA,Windom,4581,,1,5,0,8,,60,162,8,1,244,245
2002,MINNESOTA,Wyoming,3110,,0,1,0,3,,6,124,13,0,147,147
2002,MINNESOTA,Zumbrota,2846,,0,1,0,4,,8,69,12,3,94,97
2002,,, ,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,
2002,MISSISSIPPI,Aberdeen,6476,,0,4,5,13,,42,151,8,0,223,223
2002,MISSISSIPPI,Amory,7022,,0,3,1,6,,95,367,13,0,485,485
2002,MISSISSIPPI,Batesville,7181,,0,1,7,21,,47,353,23,1,452,453
2002,MISSISSIPPI,Bay St. Louis,8288,,0,2,2,4,,45,289,13,0,355,355
2002,MISSISSIPPI,Belzoni,2688,,0,4,3,17,,38,99,0,0,161,161
2002,MISSISSIPPI,Booneville,8708,,0,5,1,7,,102,370,25,1,510,511
2002,MISSISSIPPI,Brookhaven,9955,,0,3,16,20,,75,524,27,2,665,667
2002,MISSISSIPPI,Bruce,2117,,0,1,1,3,,12,10,0,1,27,28
2002,MISSISSIPPI,Byhalia,713,,0,0,3,8,,20,60,13,1,104,105
2002,MISSISSIPPI,Collins,2708,,0,1,1,2,,40,104,11,0,159,159
2002,MISSISSIPPI,Columbia,6666,,0,6,7,20,,142,200,20,0,395,395
2002,MISSISSIPPI,Edwards,1360,,0,0,3,8,,8,17,0,0,36,36
2002,MISSISSIPPI,Eupora,2348,,1,0,0,6,,17,4,0,0,28,28
2002,MISSISSIPPI,Flowood,4795,,0,5,9,3,,30,554,25,0,626,626
2002,MISSISSIPPI,Gloster,1084,,0,0,0,2,,3,0,3,0,8,8
2002,MISSISSIPPI,Heidelberg,848,,0,0,2,2,,3,0,0,0,7,7
2002,MISSISSIPPI,Hollandale,3470,,1,0,4,14,,44,33,11,0,107,107
2002,MISSISSIPPI,Holly Springs,8033,,1,1,16,29,,179,194,34,0,454,454
2002,MISSISSIPPI,Houston,4118,,0,0,0,0,,0,0,0,0,0,0
2002,MISSISSIPPI,Iuka,3088,,0,0,9,1,,31,9,3,0,53,53
2002,MISSISSIPPI,Kosciusko,7442,,0,0,11,8,,68,126,8,3,221,224
2002,MISSISSIPPI,Leakesville,1035,,0,0,0,0,,0,0,0,0,0,0
2002,MISSISSIPPI,Leland,5554,,0,0,1,2,,46,25,0,0,74,74
2002,MISSISSIPPI,Lexington,2045,,1,0,0,1,,11,11,2,0,26,26
2002,MISSISSIPPI,Louisville,7073,,0,1,5,12,,43,24,0,2,85,87
2002,MISSISSIPPI,Lucedale,2481,,0,0,3,8,,14,72,10,0,107,107
2002,MISSISSIPPI,Magee,4240,,0,1,2,8,,34,233,8,0,286,286
2002,MISSISSIPPI,Magnolia,2091,,1,4,1,18,,40,117,4,1,185,186
2002,MISSISSIPPI,Morton,3515,,0,0,5,0,,23,4,4,0,36,36
2002,MISSISSIPPI,New Albany,7679,,1,1,1,1,,60,149,27,0,240,240
2002,MISSISSIPPI,Newton,3735,,0,0,1,3,,24,116,12,0,156,156
2002,MISSISSIPPI,Pass Christian,6642,,0,2,7,3,,83,236,20,2,351,353
2002,MISSISSIPPI,Petal,7651,,0,1,4,4,,30,110,7,0,156,156
2002,MISSISSIPPI,Poplarville,2626,,0,0,0,1,,20,65,0,0,86,86
2002,MISSISSIPPI,Port Gibson,1858,,0,0,2,0,,4,4,0,0,10,10
2002,MISSISSIPPI,Purvis,2184,,0,0,0,0,,0,0,0,0,0,0
2002,MISSISSIPPI,Richland,6085,,1,7,10,6,,119,216,34,0,393,393
2002,MISSISSIPPI,Ripley,5530,,0,0,6,13,,36,89,10,0,154,154
2002,MISSISSIPPI,Roxie,574,,0,0,0,0,,0,0,0,0,0,0
2002,MISSISSIPPI,Senatobia,6745,,0,0,3,8,,52,253,23,1,339,340
2002,MISSISSIPPI,Sunflower,703,,0,0,0,0,,0,0,0,0,0,0
2002,MISSISSIPPI,Waveland,6737,,0,0,10,9,,40,260,16,0,335,335
2002,MISSISSIPPI,Wiggins,3885,,1,4,4,12,,87,164,0,0,272,272
2002,MISSISSIPPI,Winona,5534,,0,2,0,7,,5,21,2,0,37,37
2002,,,,,,,,,,,,,,,
2002,,,,, ,,,,,,,,,,
2002,,,,,,,,,,,,,,,
2002,MISSOURI,Adrian,1804,,0,0,0,0,,1,8,1,0,10,10
2002,MISSOURI,Advance,1261,,0,0,0,5,,6,22,0,0,33,33
2002,MISSOURI,Alma,405,,0,0,0,0,,0,0,0,0,0,0
2002,MISSOURI,Alton,677,,0,0,0,0,,0,1,0,0,1,1
2002,MISSOURI,Appleton City,1332,,0,1,0,4,,5,22,1,1,33,34
2002,MISSOURI,Arbyrd,535,,0,0,0,0,,1,0,0,1,1,2
2002,MISSOURI,Archie,903,,0,0,0,0,,2,11,0,1,13,14
2002,MISSOURI,Ashland,1895,,0,2,0,8,,8,65,5,1,88,89
2002,MISSOURI,Aurora,7111,,0,0,0,17,,123,195,30,0,365,365
2002,MISSOURI,Auxvasse,914,,0,0,0,4,,16,11,1,1,32,33
2002,MISSOURI,Ava,3063,,0,0,0,8,,6,27,0,1,41,42
2002,MISSOURI,Bates City,249,,0,0,0,1,,2,8,1,1,12,13
2002,MISSOURI,Battlefield,2418,,0,0,0,2,,2,26,0,1,30,31
2002,MISSOURI,Bella Villa,696,,0,0,0,0,,1,7,1,0,9,9
2002,MISSOURI,Bel-Nor,2352,,1,0,0,8,,20,45,10,1,84,85
2002,MISSOURI,Bel-Ridge,3124,,0,3,5,25,,57,107,42,5,239,244
2002,MISSOURI,Bernie,1801,,0,0,0,6,,2,23,0,0,31,31
2002,MISSOURI,Bethany,3129,,0,0,0,8,,13,44,4,0,69,69
2002,MISSOURI,Billings,1106,,0,0,0,2,,5,25,2,0,34,34
2002,MISSOURI,Bloomfield,1979,,0,0,0,3,,12,21,4,0,40,40
2002,MISSOURI,Bolivar,9270,,0,3,1,19,,43,391,15,1,472,473
2002,MISSOURI,Bonne Terre,4094,,0,2,1,8,,25,98,19,6,153,159
2002,MISSOURI,Boonville,8316,,0,2,1,18,,45,258,3,2,327,329
2002,MISSOURI,Bourbon,1366,,0,0,0,23,,9,25,5,0,62,62
2002,MISSOURI,Bowling Green,3306,,0,2,0,7,,12,13,4,0,38,38
2002,MISSOURI,Branson,6134,,0,4,8,60,,101,607,13,0,793,793
2002,MISSOURI,Branson West,414,,0,0,0,10,,4,89,2,0,105,105
2002,MISSOURI,Breckenridge Hills2,4883,,0,0,9,,,59,201,32,0,,
2002,MISSOURI,Brentwood,7799,,0,0,10,5,,17,231,11,0,274,274
2002,MISSOURI,Brookfield,4835,,0,3,0,7,,17,70,7,4,104,108
2002,MISSOURI,Brunswick,938,,0,0,0,3,,4,2,0,0,9,9
2002,MISSOURI,Bucklin,531,,0,0,0,0,,3,1,0,0,4,4
2002,MISSOURI,Buckner,2763,,0,2,0,7,,22,98,6,3,135,138
2002,MISSOURI,Buffalo,2820,,0,0,0,39,,28,91,2,3,160,163
2002,MISSOURI,Bunker,433,,0,0,0,11,,3,0,0,0,14,14
2002,MISSOURI,Butler,4268,,0,0,0,33,,34,168,9,1,244,245
2002,MISSOURI,Byrnes Mill,2409,,0,0,0,11,,6,9,2,1,28,29
2002,MISSOURI,Cabool,2198,,0,0,1,1,,17,30,3,1,52,53
2002,MISSOURI,California,4060,,0,0,0,22,,26,46,3,0,97,97
2002,MISSOURI,Calverton Park,1340,,0,0,0,3,,6,8,2,0,19,19
2002,MISSOURI,Camdenton,2818,,0,0,2,4,,14,101,4,1,125,126
2002,MISSOURI,Cameron,8427,,0,2,0,13,,50,178,14,2,257,259
2002,MISSOURI,Campbell,1909,,0,0,0,0,,14,56,1,1,71,72
2002,MISSOURI,Canton,2592,,0,0,0,11,,4,42,2,1,59,60
2002,MISSOURI,Carl Junction,5367,,0,8,0,1,,17,57,3,0,86,86
2002,MISSOURI,Carrollton,4179,,0,0,1,1,,18,38,4,2,62,64
2002,MISSOURI,Carterville,1876,,1,3,0,4,,9,37,0,1,54,55
2002,MISSOURI,Caruthersville,6854,,0,1,7,67,,87,247,14,1,423,424
2002,MISSOURI,Cassville,2930,,0,1,0,9,,22,79,5,2,116,118
2002,MISSOURI,Center,653,,0,0,0,1,,1,15,0,1,17,18
2002,MISSOURI,Centralia,3826,,0,0,0,2,,15,162,7,0,186,186
2002,MISSOURI,Chaffee,3086,,0,0,0,19,,7,34,0,0,60,60
2002,MISSOURI,Charlack,1451,,0,1,1,3,,9,64,4,0,82,82
2002,MISSOURI,Charleston,4798,,1,3,8,50,,25,158,3,1,248,249
2002,MISSOURI,Chillicothe,9092,,0,3,0,12,,49,222,20,2,306,308
2002,MISSOURI,Clarence,928,,0,0,0,0,,0,0,0,0,0,0
2002,MISSOURI,Clarkson Valley,2712,,0,1,1,3,,5,34,0,0,44,44
2002,MISSOURI,Clarkton,1348,,0,0,0,1,,1,5,2,0,9,9
2002,MISSOURI,Claycomo,1285,,0,0,0,7,,8,41,18,1,74,75
2002,MISSOURI,Cleveland,600,,0,0,0,0,,1,3,2,0,6,6
2002,MISSOURI,Clever,1024,,0,0,0,2,,6,3,0,0,11,11
2002,MISSOURI,Clinton,9440,,0,2,3,25,,85,418,21,4,554,558
2002,MISSOURI,Cole Camp,1042,,0,0,0,7,,11,40,0,0,58,58
2002,MISSOURI,Concordia,2393,,0,0,0,3,,8,18,2,0,31,31
2002,MISSOURI,Cool Valley,1096,,0,0,6,13,,24,102,12,0,157,157
2002,MISSOURI,Cooter,446,,0,0,0,0,,1,0,1,0,2,2
2002,MISSOURI,Corder,433,,0,0,0,1,,0,1,0,0,2,2
2002,MISSOURI,Cottleville,1955,,0,0,0,0,,6,38,3,0,47,47
2002,MISSOURI,Country Club Hills,1400,,0,0,3,11,,4,28,3,0,49,49
2002,MISSOURI,County Club Village,1872,,0,0,0,0,,1,0,0,0,1,1
2002,MISSOURI,Crane,1409,,0,0,1,13,,0,10,0,0,24,24
2002,MISSOURI,Crocker,1048,,0,0,0,2,,0,17,0,0,19,19
2002,MISSOURI,Crystal City,4306,,0,0,0,27,,15,142,15,0,199,199
2002,MISSOURI,Cuba,3274,,0,2,0,21,,41,352,14,0,430,430
2002,MISSOURI,Dellwood,5328,,0,4,12,10,,35,77,31,0,169,169
2002,MISSOURI,De Soto,6463,,0,1,1,53,,32,281,23,0,391,391
2002,MISSOURI,Des Peres,8711,,1,0,4,0,,22,221,8,1,256,257
2002,MISSOURI,Dexter,7457,,0,3,2,56,,50,190,10,0,311,311
2002,MISSOURI,Diamond,818,,0,0,0,1,,2,5,2,0,10,10
2002,MISSOURI,Dixon,1592,,0,0,0,1,,2,4,3,0,10,10
2002,MISSOURI,Doniphan,1959,,0,0,0,5,,20,51,1,0,77,77
2002,MISSOURI,Drexel,1105,,0,0,0,1,,7,24,4,0,36,36
2002,MISSOURI,Duenweg,1049,,0,0,0,0,,2,29,1,0,32,32
2002,MISSOURI,Duquesne,1662,,0,0,2,11,,6,19,2,0,40,40
2002,MISSOURI,East Lynne,304,,0,0,0,0,,3,2,0,0,5,5
2002,MISSOURI,East Prairie,3271,,0,0,0,31,,2,72,3,0,108,108
2002,MISSOURI,Edgerton,540,,0,0,0,0,,1,0,0,0,1,1
2002,MISSOURI,Edina,1250,,0,0,0,2,,1,0,4,0,7,7
2002,MISSOURI,Edmundson,851,,0,1,1,23,,15,58,39,2,137,139
2002,MISSOURI,Eldon,4963,,2,2,1,18,,45,186,10,3,264,267
2002,MISSOURI,El Dorado Springs,3827,,0,1,1,16,,44,170,10,2,242,244
2002,MISSOURI,Ellington,1060,,0,1,0,5,,3,15,0,0,24,24
2002,MISSOURI,Ellisville,9229,,0,0,1,7,,14,71,14,1,107,108
2002,MISSOURI,Eureka,7782,,0,0,2,37,,15,229,24,1,307,308
2002,MISSOURI,Everton,326,,0,0,0,2,,3,8,0,0,13,13
2002,MISSOURI,Exeter,716,,0,0,0,5,,15,6,1,2,27,29
2002,MISSOURI,Fair Play,424,,0,0,0,1,,3,10,0,0,14,14
2002,MISSOURI,Farber,417,,0,0,0,2,,0,0,0,0,2,2
2002,MISSOURI,Fayette,2832,,0,0,0,5,,1,17,1,0,24,24
2002,MISSOURI,Festus,9794,,0,2,2,82,,45,241,13,0,385,385
2002,MISSOURI,Flordell Hills,944,,0,1,4,5,,14,22,7,0,53,53
2002,MISSOURI,Fordland,693,,0,0,0,4,,2,3,0,0,9,9
2002,MISSOURI,Foristell,335,,0,0,0,3,,2,58,4,0,67,67
2002,MISSOURI,Forsyth,1710,,0,0,0,3,,19,47,3,1,72,73
2002,MISSOURI,Fredericktown,3983,,0,3,1,50,,15,114,4,2,187,189
2002,MISSOURI,Freeman,528,,0,0,0,0,,1,3,0,0,4,4
2002,MISSOURI,Frontenac,3531,,0,0,2,2,,3,62,4,0,73,73
2002,MISSOURI,Gainesville,641,,0,0,0,2,,1,6,0,0,9,9
2002,MISSOURI,Gallatin,1813,,0,0,0,0,,17,20,9,0,46,46
2002,MISSOURI,Garden City,1520,,0,0,0,0,,6,4,1,0,11,11
2002,MISSOURI,Gerald,1187,,0,0,0,0,,4,6,0,0,10,10
2002,MISSOURI,Gideon,1128,,0,0,0,0,,1,1,0,0,2,2
2002,MISSOURI,Glasgow,1281,,0,0,0,4,,4,6,0,0,14,14
2002,MISSOURI,Glendale,5846,,0,0,0,5,,4,14,4,0,27,27
2002,MISSOURI,Gower,1419,,0,0,0,8,,1,2,0,0,11,11
2002,MISSOURI,Grain Valley,5232,,0,2,0,8,,41,114,22,0,187,187
2002,MISSOURI,Granby,2150,,0,0,0,23,,22,36,1,0,82,82
2002,MISSOURI,Grandin,239,,0,0,0,0,,0,0,0,0,0,0
2002,MISSOURI,Greenwood,4007,,0,1,0,9,,9,31,0,0,50,50
2002,MISSOURI,Hallsville,991,,0,0,0,0,,3,19,2,0,24,24
2002,MISSOURI,Hamilton,1838,,0,1,0,10,,6,29,8,4,54,58
2002,MISSOURI,Harrisonville,9069,,0,7,2,21,,45,382,16,10,473,483
2002,MISSOURI,Hartville,616,,0,0,0,2,,5,6,1,0,14,14
2002,MISSOURI,Hawk Point,465,,0,0,0,4,,3,3,2,0,12,12
2002,MISSOURI,Hayti,3251,,0,0,4,49,,21,75,0,1,149,150
2002,MISSOURI,Hayti Heights,782,,0,0,0,8,,1,4,0,0,13,13
2002,MISSOURI,Henrietta,463,,0,0,0,0,,0,1,1,0,2,2
2002,MISSOURI,Herculaneum,2844,,0,1,1,0,,5,56,8,1,71,72
2002,MISSOURI,Hermann,2711,,1,0,0,9,,8,44,5,0,67,67
2002,MISSOURI,Higbee,632,,0,0,0,1,,2,1,1,0,5,5
2002,MISSOURI,Higginsville,4747,,0,0,2,12,,24,99,1,0,138,138
2002,MISSOURI,High Hill,234,,0,0,0,0,,0,3,0,0,3,3
2002,MISSOURI,Hillsdale,1497,,0,0,0,12,,15,0,1,0,28,28
2002,MISSOURI,Holcomb,705,,0,0,0,1,,1,2,0,0,4,4
2002,MISSOURI,Holden,2545,,0,0,4,20,,8,68,5,1,105,106
2002,MISSOURI,Hollister,3920,,1,2,0,0,,16,80,3,0,102,102
2002,MISSOURI,Holt,411,,0,0,0,2,,0,11,1,0,14,14
2002,MISSOURI,Holts Summit,2976,,0,0,0,17,,13,4,1,0,35,35
2002,MISSOURI,Hornersville,695,,0,0,0,0,,0,0,0,0,0,0
2002,MISSOURI,Houston,2020,,0,1,2,2,,10,36,3,0,54,54
2002,MISSOURI,Houston Lake,288,,0,0,0,0,,1,0,0,0,1,1
2002,MISSOURI,Humansville,959,,0,0,0,4,,7,10,1,0,22,22
2002,MISSOURI,Huntsville,1575,,0,1,0,3,,5,8,2,0,19,19
2002,MISSOURI,Iberia,614,,0,0,0,2,,3,0,1,0,6,6
2002,MISSOURI,Irondale,443,,0,0,0,0,,2,0,0,0,2,2
2002,MISSOURI,Iron Mountain Lake,702,,0,0,0,10,,6,10,0,0,26,26
2002,MISSOURI,Ironton,1491,,0,0,0,13,,7,28,0,0,48,48
2002,MISSOURI,JASCO Metropolitian,1585,,0,0,0,2,,8,15,2,1,27,28
2002,MISSOURI,Jasper,1025,,0,0,0,1,,1,10,0,0,12,12
2002,MISSOURI,Jonesburg,704,,0,0,0,3,,2,22,1,0,28,28
2002,MISSOURI,Kahoka,2272,,0,0,0,2,,13,22,2,0,39,39
2002,MISSOURI,Kearney,5547,,0,0,1,4,,14,81,9,4,109,113
2002,MISSOURI,Keytesville,540,,0,0,0,0,,3,4,0,0,7,7
2002,MISSOURI,Kimberling City,2284,,0,0,0,21,,6,48,4,0,79,79
2002,MISSOURI,Kimmswick,96,,0,0,0,0,,0,9,0,0,9,9
2002,MISSOURI,Kingsville,261,,0,0,0,0,,0,0,0,0,0,0
2002,MISSOURI,Knob Noster,2497,,0,0,0,8,,20,62,5,0,95,95
2002,MISSOURI,La Belle,678,,0,0,0,1,,4,2,0,0,7,7
2002,MISSOURI,Ladue,8764,,0,0,2,6,,16,108,6,0,138,138
2002,MISSOURI,La Grange,1014,,0,0,0,2,,3,9,0,1,14,15
2002,MISSOURI,Lake Annette,165,,0,0,0,2,,1,0,0,0,3,3
2002,MISSOURI,Lake Lafayette,351,,0,0,0,1,,2,4,0,0,7,7
2002,MISSOURI,Lake Lotawana,1898,,0,2,0,2,,11,27,5,0,47,47
2002,MISSOURI,Lake Ozark,1509,,0,3,0,36,,9,61,5,0,114,114
2002,MISSOURI,Lakeshire,1394,,0,0,1,0,,2,28,0,0,31,31
2002,MISSOURI,Lake Tapawingo,854,,0,0,0,0,,1,5,1,0,7,7
2002,MISSOURI,Lake Waukomis,930,,0,0,0,0,,0,3,0,0,3,3
