year,state,city,population,violent_crime,murder_and_non_negligent_man_slaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,crime_index_total,modified_crime_index_total
2000,CONNECTICUT,Southington,40382,,,4,4,11,,140,627,41,2,827,829
2000,CONNECTICUT,South Windsor,23728,,,4,1,17,,58,155,23,1,258,259
2000,CONNECTICUT,Stamford,114973,,1,9,122,155,,297,2072,409,11,3065,3076
2000,CONNECTICUT,Stonington,16931,,,4,5,5,,48,344,9,1,415,416
2000,CONNECTICUT,Stratford,50855,,,12,58,43,,272,921,275,20,1581,1601
2000,CONNECTICUT,Suffield,11962,,,,1,,,13,112,11,,137,137
2000,CONNECTICUT,Torrington,35885,,,3,7,112,,125,738,51,1,1036,1037
2000,CONNECTICUT,Trumbull,34979,,,,16,12,,99,882,77,8,1086,1094
2000,CONNECTICUT,Vernon,30404,,,1,17,9,,128,684,53,4,892,896
2000,CONNECTICUT,Wallingford,42647,,1,2,12,6,,72,662,60,6,815,821
2000,CONNECTICUT,Waterford,18501,,,4,5,28,,85,572,28,5,722,727
2000,CONNECTICUT,Watertown,22681,,,1,3,1,,49,391,19,,464,464
2000,CONNECTICUT,West Hartford,61035,,1,1,65,26,,352,1446,192,7,2083,2090
2000,CONNECTICUT,West Haven,53565,,2,11,44,17,,282,1269,303,4,1928,1932
2000,CONNECTICUT,Westport,25172,,,1,4,16,,105,380,57,1,563,564
2000,CONNECTICUT,Wethersfield,26119,,,7,25,12,,123,374,68,3,609,612
2000,CONNECTICUT,Willimantic,16146,,,,19,48,,186,557,43,,853,853
2000,CONNECTICUT,Wilton,17291,,,1,1,10,,44,160,5,1,221,222
2000,CONNECTICUT,Winchester,11448,,,1,1,9,,17,123,15,1,166,167
2000,CONNECTICUT,Windsor,28483,,1,8,9,5,,52,490,61,7,626,633
2000,CONNECTICUT,Wolcott,16023,,,1,,1,,53,236,16,1,307,308
2000,DELAWARE,Dover,33380,,,,68,141,,177,1751,160,31,,
2000,DELAWARE,Newark,29448,,,,62,110,,155,997,81,33,,
2000,DELAWARE,Wilmington,74343,,13,,518,749,,915,3428,1116,24,,
2000,DISTRICT OF COLUMBIA,Washington,572059,,239,251,3553,4582,,4745,21637,6600,106,41607,41713
2000,FLORIDA,Altamonte Springs,41758,,2,2,53,84,,229,1324,247,4,1941,1945
2000,FLORIDA,Apopka,23351,,2,6,52,218,,577,1011,118,10,1984,1994
2000,FLORIDA,Atlantic Beach,14014,,,6,18,41,,121,437,50,6,673,679
2000,FLORIDA,Auburndale,11061,,,6,23,51,,196,600,48,,924,924
2000,FLORIDA,Aventura,21281,,1,1,37,68,,121,2744,185,1,3157,3158
2000,FLORIDA,Bartow,16773,,,11,38,143,,284,945,101,3,1522,1525
2000,FLORIDA,Belle Glade,17699,,2,8,72,261,,426,927,112,13,1808,1821
2000,FLORIDA,Boca Raton,77173,,1,16,52,141,,742,2097,263,,3312,3312
2000,FLORIDA,Boynton Beach,58178,,1,7,149,344,,693,3264,533,14,4991,5005
2000,FLORIDA,Bradenton,49858,,4,15,159,283,,691,1930,316,2,3398,3400
2000,FLORIDA,Cape Coral,98909,,,16,32,165,,736,2460,221,65,3630,3695
2000,FLORIDA,Casselberry,26400,,,11,40,76,,160,787,84,2,1158,1160
2000,FLORIDA,Clearwater,105697,,6,52,175,632,,1111,3427,391,25,5794,5819
2000,FLORIDA,Clermont,10664,,,4,14,49,,136,255,32,2,490,492
2000,FLORIDA,Cocoa,19232,,1,18,68,246,,308,840,110,8,1591,1599
2000,FLORIDA,Cocoa Beach,13694,,2,7,29,93,,134,767,37,1,1069,1070
2000,FLORIDA,Coconut Creek,41430,,,10,15,66,,254,624,134,2,1103,1105
2000,FLORIDA,Cooper City,30482,,1,2,8,37,,104,367,48,,567,567
2000,FLORIDA,Coral Gables,44892,,,1,58,174,,500,1997,214,4,2944,2948
2000,FLORIDA,Coral Springs,122831,,3,22,76,205,,633,2695,351,6,3985,3991
2000,FLORIDA,Crestview,13826,,1,9,18,65,,97,477,19,3,686,689
2000,FLORIDA,Dania,21636,,,21,54,184,,226,943,274,2,1702,1704
2000,FLORIDA,Davie,73601,,1,4,53,230,,562,2359,432,14,3641,3655
2000,FLORIDA,Daytona Beach,68436,,10,84,366,670,,1597,3181,868,30,6776,6806
2000,FLORIDA,Deerfield Beach,54202,,5,24,62,207,,355,1257,251,1,2161,2162
2000,FLORIDA,Deland,19423,,,10,58,217,,308,1083,72,,1748,1748
2000,FLORIDA,Delray Beach,57237,,3,15,130,445,,746,3055,472,14,4866,4880
2000,FLORIDA,Dunedin,37737,,1,10,16,60,,268,868,46,5,1269,1274
2000,FLORIDA,Edgewater,19338,,,,3,46,,142,322,30,5,543,548
2000,FLORIDA,Eustis,16657,,,5,14,67,,72,254,37,6,449,455
2000,FLORIDA,Fort Lauderdale,162900,,13,66,760,923,,2259,7363,1398,59,12782,12841
2000,FLORIDA,Fort Myers,48920,,3,39,444,641,,1064,2688,1171,19,6050,6069
2000,FLORIDA,Fort Pierce,39213,,16,35,214,532,,885,2099,348,29,4129,4158
